epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
4.000000,46.070457,68.160004
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
0.000000,73.796227,42.360001
epoch,average loss,accuracy
epoch,average loss,accuracy
1.000000,13.670373,59.630001
